,date,item,category,avg_daily_amount_usd,avg_usdkrw,avg_daily_amount_krw
0,2016-01-31,선박,수출,130859600.0,1202.5228571428572,157361660076.57144
1,2016-02-29,선박,수출,124821761.90476191,1233.1833333333334,153928116418.254
2,2016-03-31,선박,수출,114383045.45454545,1158.2922222222223,132488991904.09093
3,2016-04-30,선박,수출,171077250.0,1144.86,195859500434.99997
4,2016-05-31,선박,수출,84787136.36363637,1184.7985714285714,100455678039.15585
5,2016-06-30,선박,수출,241071285.7142857,1157.7175,279092446218.9285
6,2016-07-31,선박,수출,89480761.90476191,1130.657142857143,101172062595.9184
7,2016-08-31,선박,수출,145444000.0,1119.0774999999999,162763107909.99997
8,2016-09-30,선박,수출,98619954.54545455,1100.7350000000001,108554435666.59093
9,2016-10-31,선박,수출,119491619.04761906,1138.7471428571428,136070739785.85034
10,2016-11-30,선박,수출,156411454.54545456,1174.8362499999998,183757846715.22726
11,2016-12-31,선박,수출,98371363.63636363,1203.2525,118365589223.86363
12,2017-01-31,선박,수출,96912272.72727272,1166.047142857143,113004278721.42857
13,2017-02-28,선박,수출,90697800.0,1135.2500000000002,102964677450.00002
14,2017-03-31,선박,수출,128739590.9090909,1116.33,143715867519.54544
15,2017-04-30,선박,수출,352468700.0,1132.2883333333334,399096196875.1667
16,2017-05-31,선박,수출,102328304.34782608,1119.76125,114583269986.90216
17,2017-06-30,선박,수출,348113571.4285714,1139.4025000000001,396641473569.6429
18,2017-07-31,선박,수출,300317900.0,1117.3257142857144,335552912130.28577
19,2017-08-31,선박,수출,108666681.81818183,1125.721111111111,122328377797.12122
20,2017-09-30,선박,수출,144300476.19047618,1138.4157142857143,164273929674.14966
21,2017-10-31,선박,수출,147005954.54545456,1125.787142857143,165497413550.71432
22,2017-11-30,선박,수출,34076227.27272727,1085.58125,36992513398.01136
23,2017-12-31,선박,수출,123013100.0,1073.8285714285714,132094981440.0
24,2018-01-31,선박,수출,109748772.72727272,1068.20875,117234599329.03409
25,2018-02-28,선박,수출,120292700.0,1077.51,129616587177.0
26,2018-03-31,선박,수출,93119857.14285715,1070.24,99660595908.57144
27,2018-04-30,선박,수출,81396238.09523809,1075.0516666666665,87505161424.68253
28,2018-05-31,선박,수출,33644521.73913043,1077.728888888889,36259673031.111115
29,2018-06-30,선박,수출,60526238.09523809,1115.6228571428571,67524454675.91836
30,2018-07-31,선박,수출,75737238.09523809,1120.5800000000002,84869634264.76192
31,2018-08-31,선박,수출,28071318.18181818,1113.9033333333334,31268734893.78788
32,2018-09-30,선박,수출,67840300.0,1114.8533333333332,75631984589.33333
33,2018-10-31,선박,수출,62445086.956521735,1138.0,71062508956.52173
34,2018-11-30,선박,수출,90950045.45454545,1125.89875,102400542489.71591
35,2018-12-31,선박,수출,158892550.0,1121.1571428571428,178143517379.2857
36,2019-01-31,선박,수출,78900818.18181817,1121.2422222222222,88466928713.33331
37,2019-02-28,선박,수출,64365850.0,1119.6850000000002,72069476757.25002
38,2019-03-31,선박,수출,103068450.0,1134.0771428571427,116887573294.71426
39,2019-04-30,선박,수출,121846181.81818183,1153.7414285714285,140578987876.88312
40,2019-05-31,선박,수출,49147043.478260875,1188.5299999999997,58412735585.217384
41,2019-06-30,선박,수출,99416894.73684211,1155.515,114877713121.84212
42,2019-07-31,선박,수출,66030363.63636363,1181.2175,77996221058.63635
43,2019-08-31,선박,수출,80016590.9090909,1209.61375,96789168591.76135
44,2019-09-30,선박,수출,83748523.80952382,1197.8216666666665,100315796370.39682
45,2019-10-31,선박,수출,76589391.30434783,1169.9466666666665,89605503058.55072
46,2019-11-30,선박,수출,35355523.809523806,1176.5514285714287,41597592045.9864
47,2019-12-31,선박,수출,60996285.71428572,1159.5157142857142,70726151798.77551
48,2020-01-31,선박,수출,121581956.52173914,1176.1344444444444,142996726888.16425
49,2020-02-29,선박,수출,69453150.0,1211.1116666666667,84115520251.75
50,2020-03-31,선박,수출,63394772.72727273,1229.3357142857144,77933458212.66234
51,2020-04-30,선박,수출,45980272.72727273,1224.62125,56308419062.61363
52,2020-05-31,선박,수출,77312500.0,1236.1114285714286,95566864821.42857
53,2020-06-30,선박,수출,60786727.27272727,1203.9142857142856,73182009345.45454
54,2020-07-31,선박,수출,78500681.81818183,1195.791111111111,93870417534.34343
55,2020-08-31,선박,수출,53864380.952380955,1186.8542857142857,63929171380.680275
56,2020-09-30,선박,수출,80723095.23809524,1167.6899999999998,94259551078.57141
57,2020-10-31,선박,수출,64482318.18181819,1132.295,73013006465.68182
58,2020-11-30,선박,수출,46579714.28571428,1108.2133333333334,51620260434.28571
59,2020-12-31,선박,수출,123887727.27272728,1097.5822222222223,135976967006.06062
60,2021-01-31,선박,수출,173021700.0,1106.7757142857142,191496215604.42856
61,2021-02-28,선박,수출,72533900.0,1114.3300000000002,80826700787.00002
62,2021-03-31,선박,수출,105111454.54545455,1131.095,118891040679.09091
63,2021-04-30,선박,수출,52664681.81818181,1113.51625,58642979005.62499
64,2021-05-31,선박,수출,62596619.047619045,1118.327142857143,70003498132.04082
65,2021-06-30,선박,수출,86223545.45454545,1131.3575,97549654826.59091
66,2021-07-31,선박,수출,86745954.54545455,1150.3712500000001,99790052162.89774
67,2021-08-31,선박,수출,72769590.9090909,1164.53,84742371701.36363
68,2021-09-30,선박,수출,44453272.72727273,1182.0575000000001,52546324426.818184
69,2021-10-31,선박,수출,70742285.71428572,1172.3128571428572,82932091086.53062
70,2021-11-30,선박,수출,158080636.36363634,1189.417142857143,188023818844.67532
71,2021-12-31,선박,수출,58259434.782608695,1187.5711111111111,69187221697.48793
72,2022-01-31,선박,수출,34507666.666666664,1199.9199999999998,41406439386.66666
73,2022-02-28,선박,수출,85201200.0,1196.9599999999998,101982428351.99998
74,2022-03-31,선박,수출,63234521.73913043,1216.82,76945030742.60869
75,2022-04-30,선박,수출,45290523.809523806,1257.0142857142857,56930835436.05442
