,us_3m,us_2y,us_1y,us_10y,us_30y,us_5y,kr_10y,kr_5y,kr_3y,kr_2y,kr_1y
2016-01-04,0.168,1.036,0.582,2.243,2.986,1.732,2.035,1.783,1.638,1.625,1.602
2016-01-05,0.219,1.02,0.566,2.239,2.999,1.716,2.062,1.796,1.649,1.631,1.597
2016-01-06,0.219,0.98,0.672,2.17,2.937,1.643,2.037,1.787,1.638,1.63,1.597
2016-01-07,0.203,0.952,0.644,2.149,2.929,1.603,2.019,1.779,1.64,1.63,1.597
2016-01-08,0.203,0.936,0.628,2.116,2.909,1.56,2.057,1.814,1.665,1.655,1.607
2016-01-09,,,,,,,2.057,1.81,1.665,,
2016-01-10,,,,,,,2.057,1.81,1.665,1.655,1.607
2016-01-11,0.191,0.936,0.618,2.175,2.969,1.594,2.021,1.775,1.635,1.627,1.594
2016-01-12,0.219,0.928,0.618,2.105,2.881,1.542,2.046,1.792,1.644,1.625,1.595
2016-01-13,0.224,0.915,0.595,2.091,2.878,1.527,2.023,1.781,1.635,1.625,1.594
2016-01-14,0.249,0.899,0.538,2.091,2.89,1.51,2.028,1.794,1.644,1.642,1.6
2016-01-15,0.237,0.85,0.474,2.037,2.818,1.456,2.023,1.793,1.652,1.642,1.6
2016-01-16,,,,,,,2.02,1.79,1.647,,
2016-01-18,0.234,0.85,0.463,2.045,2.828,1.459,2.04,1.801,1.65,1.642,1.6
2016-01-19,0.244,0.87,0.469,2.056,2.829,1.484,2.068,1.806,1.648,1.635,1.6
2016-01-20,0.262,0.829,0.418,1.988,2.758,1.42,2.01,1.765,1.618,1.631,1.59
2016-01-21,0.285,0.837,0.441,2.028,2.809,1.441,1.994,1.752,1.616,1.624,1.59
2016-01-22,0.3,0.873,0.459,2.057,2.828,1.484,2.041,1.769,1.627,1.602,1.589
2016-01-23,,,,,,,2.035,1.757,1.62,,
2016-01-25,0.29,0.861,0.451,2.006,2.79,1.442,2.019,1.759,1.622,1.602,1.589
2016-01-26,0.315,0.844,0.462,2.003,2.788,1.435,1.99,1.733,1.602,1.585,1.582
2016-01-27,0.315,0.837,0.451,2.003,2.801,1.415,2.011,1.743,1.604,1.595,1.589
2016-01-28,0.333,0.825,0.451,1.982,2.788,1.401,2.015,1.753,1.616,1.612,1.593
2016-01-29,0.315,0.778,0.451,1.923,2.747,1.33,1.98,1.7,1.563,1.562,1.553
2016-01-30,,,,,,,1.98,1.7,1.565,,
2016-02-01,0.31,0.801,0.472,1.95,2.764,1.367,1.922,1.647,1.529,1.521,1.535
2016-02-02,0.346,0.742,0.464,1.852,2.661,1.275,1.924,1.644,1.52,1.512,1.502
2016-02-03,0.346,0.726,0.538,1.883,2.71,1.271,1.865,1.613,1.5,1.491,1.482
2016-02-04,0.298,0.706,0.523,1.846,2.679,1.234,1.871,1.618,1.499,1.504,1.48
2016-02-05,0.292,0.73,0.533,1.843,2.673,1.247,1.88,1.627,1.507,1.49,1.486
2016-02-06,,,,,,,1.88,1.625,1.505,,
2016-02-08,0.275,0.674,0.505,1.748,2.576,1.163,,,,,
2016-02-09,0.313,0.694,0.51,1.731,2.553,1.156,,,,,
2016-02-10,0.313,0.694,0.515,1.673,2.492,1.125,,,,1.49,1.486
2016-02-11,0.287,0.658,0.467,1.664,2.51,1.137,1.764,1.536,1.45,1.455,1.45
2016-02-12,0.29,0.714,0.485,1.746,2.602,1.206,1.811,1.586,1.48,1.47,1.476
2016-02-13,,,,,,,1.797,1.575,1.475,,1.46
2016-02-14,,,,,,,1.797,1.575,1.475,1.47,1.46
2016-02-15,0.29,0.726,0.479,1.772,2.628,1.233,1.822,1.603,1.485,1.485,1.471
2016-02-16,0.287,0.722,0.497,1.779,2.649,1.22,1.78,1.552,1.432,1.429,1.426
2016-02-17,0.31,0.746,0.52,1.816,2.682,1.262,1.787,1.556,1.434,1.435,1.427
2016-02-18,0.3,0.697,0.515,1.741,2.612,1.197,1.804,1.568,1.45,1.45,1.445
2016-02-19,0.295,0.746,0.518,1.743,2.606,1.221,1.811,1.58,1.472,1.469,1.451
2016-02-20,,,,,,,1.815,1.58,1.467,,
2016-02-22,0.308,0.754,0.533,1.755,2.606,1.236,1.827,1.594,1.481,1.48,1.465
2016-02-23,0.331,0.734,0.536,1.716,2.569,1.193,1.834,1.602,1.486,1.48,1.468
2016-02-24,0.331,0.762,0.536,1.752,2.609,1.223,1.817,1.583,1.473,1.484,1.468
2016-02-25,0.328,0.73,0.533,1.714,2.596,1.167,1.811,1.575,1.471,1.472,1.465
2016-02-26,0.318,0.797,0.572,1.764,2.64,1.24,1.78,1.555,1.453,1.465,1.465
2016-02-27,,,,,,,1.775,1.55,1.452,,
