,us_dollar_index,usd_krw,usd_jpy,eur_usd,usd_cny,usd_aud,usd_cad,usd_chf,usd_sgd,usd_gbp
2016-01-01,,1174.45,120.3,1.0858,6.4921,1.3701,1.3848,1.001,1.4177,0.6781
2016-01-04,99.066,1189.35,119.42,1.0829,6.5338,1.3904,1.3951,1.0016,1.4237,0.6794
2016-01-05,99.599,1189.81,119.05,1.0746,6.5138,1.3964,1.3995,1.0081,1.4249,0.6815
2016-01-06,99.364,1199.52,118.46,1.0778,6.5554,1.414,1.4071,1.007,1.4359,0.6836
2016-01-07,98.365,1196.29,117.66,1.0934,6.5926,1.4262,1.4113,0.9932,1.4331,0.6841
2016-01-08,98.689,1206.94,117.44,1.0929,6.5932,1.4382,1.4168,0.9946,1.4424,0.6887
2016-01-11,98.882,1203.76,117.75,1.0859,6.5675,1.4295,1.4214,1.0015,1.434,0.6876
2016-01-12,99.122,1209.33,117.62,1.0854,6.57,1.4313,1.4261,1.0016,1.4376,0.6922
2016-01-13,99.068,1209.24,117.66,1.0873,6.5743,1.4375,1.4337,1.0057,1.4362,0.6942
2016-01-14,99.248,1206.74,118.04,1.0864,6.5891,1.4316,1.4364,1.0044,1.4367,0.6937
2016-01-15,99.115,1213.81,117.05,1.0914,6.584,1.4557,1.4538,1.002,1.44,0.7014
2016-01-18,99.115,1210.57,117.31,1.089,6.5788,1.4566,1.4561,1.0051,1.4388,0.7021
2016-01-19,99.131,1206.49,117.62,1.0905,6.5783,1.4477,1.4576,1.0028,1.4368,0.7066
2016-01-20,99.269,1208.25,116.91,1.0889,6.5781,1.4477,1.4501,1.0041,1.4373,0.7046
2016-01-21,99.223,1203.55,117.68,1.0872,6.5794,1.4289,1.4261,1.0069,1.4317,0.7032
2016-01-22,99.746,1196.57,118.77,1.0794,6.5788,1.4281,1.4115,1.0156,1.4295,0.701
2016-01-25,99.506,1198.7,118.28,1.0847,6.579,1.4378,1.4289,1.0123,1.4298,0.7018
2016-01-26,99.23,1197.2,118.41,1.0869,6.5814,1.4276,1.4114,1.0165,1.4264,0.6968
2016-01-27,99.049,1207.79,118.66,1.0891,6.5773,1.4233,1.4091,1.0145,1.4317,0.7026
2016-01-28,98.644,1206.74,118.81,1.0937,6.5744,1.4114,1.4027,1.0134,1.4275,0.6963
2016-01-29,99.737,1207.11,121.03,1.0834,6.5752,1.4115,1.3971,1.0227,1.4239,0.7019
2016-02-01,99.128,1201.79,120.97,1.0886,6.5778,1.4061,1.3945,1.0192,1.4225,0.6928
2016-02-02,98.991,1211.48,119.94,1.0916,6.5795,1.4207,1.4051,1.0182,1.4275,0.694
2016-02-03,97.406,1199.79,117.88,1.1103,6.5765,1.395,1.3779,1.004,1.4136,0.6847
2016-02-04,96.59,1190.59,116.74,1.1206,6.5638,1.3889,1.3751,0.9928,1.3972,0.6855
2016-02-05,97.149,1204.99,116.89,1.1156,6.571,1.4141,1.3913,0.9905,1.4065,0.6895
2016-02-08,96.676,1202.69,115.84,1.1195,6.571,1.411,1.3922,0.9866,1.4038,0.6929
2016-02-09,96.189,1197.39,115.1,1.1291,6.571,1.4142,1.3863,0.9724,1.3966,0.691
2016-02-10,96.026,1187.69,113.32,1.1289,6.571,1.4092,1.3923,0.9736,1.3913,0.6886
2016-02-11,95.714,1199.65,112.41,1.1321,6.571,1.4067,1.3933,0.9728,1.3894,0.6907
2016-02-12,96.087,1206.0,113.2,1.1258,6.571,1.4072,1.3845,0.9768,1.3977,0.6893
2016-02-15,96.087,1213.39,114.57,1.1153,6.4943,1.4009,1.3833,0.9867,1.3993,0.6928
2016-02-16,96.98,1217.91,114.06,1.1141,6.5154,1.4061,1.3859,0.988,1.405,0.699
2016-02-17,96.903,1222.89,114.08,1.1127,6.527,1.3918,1.3667,0.9919,1.4032,0.6995
2016-02-18,97.07,1227.59,113.23,1.1103,6.5163,1.3972,1.3724,0.9923,1.4026,0.6976
2016-02-19,96.724,1232.87,112.54,1.1132,6.5202,1.3985,1.3765,0.9898,1.405,0.6942
2016-02-22,97.508,1223.09,112.91,1.1026,6.5197,1.3837,1.3705,0.9994,1.399,0.7067
2016-02-23,97.605,1231.04,112.1,1.1017,6.5263,1.3883,1.3792,0.9907,1.4072,0.7131
2016-02-24,97.594,1231.71,112.17,1.1011,6.529,1.3895,1.37,0.9887,1.405,0.718
2016-02-25,97.41,1233.89,112.98,1.1021,6.532,1.3821,1.3529,0.99,1.4017,0.7161
2016-02-26,98.293,1242.13,113.99,1.0931,6.539,1.4024,1.351,0.9963,1.4068,0.7209
2016-02-29,98.334,1237.24,112.66,1.0871,6.5525,1.4002,1.3538,0.998,1.4064,0.7186
2016-03-01,98.475,1227.99,113.98,1.0864,6.55,1.3937,1.3406,0.9969,1.4,0.7169
2016-03-02,98.325,1223.69,113.45,1.0866,6.5499,1.371,1.3415,0.9963,1.3964,0.7103
2016-03-03,97.686,1211.07,113.67,1.0955,6.5312,1.3602,1.3399,0.9922,1.3884,0.7053
2016-03-04,97.438,1198.0,113.75,1.1001,6.5066,1.3437,1.3313,0.9934,1.3744,0.7028
2016-03-07,97.144,1198.49,113.43,1.1012,6.5155,1.339,1.3277,0.9951,1.3778,0.701
2016-03-08,97.266,1208.89,112.61,1.1009,6.5044,1.3448,1.3407,0.9953,1.3846,0.7037
2016-03-09,97.219,1208.49,113.31,1.0997,6.5105,1.3357,1.3249,0.997,1.3819,0.7032
2016-03-10,96.12,1204.09,113.18,1.1176,6.507,1.3423,1.3344,0.9845,1.3797,0.7004
2016-03-11,96.227,1186.9,113.8,1.115,6.494,1.3226,1.3208,0.9831,1.3714,0.6957
2016-03-14,96.665,1187.69,113.81,1.1104,6.4984,1.3304,1.3258,0.9871,1.376,0.6993
2016-03-15,96.723,1193.59,113.17,1.1108,6.511,1.341,1.3353,0.9869,1.3816,0.7066
2016-03-16,95.98,1177.59,112.57,1.1222,6.5189,1.3242,1.3095,0.9768,1.3642,0.7013
2016-03-17,94.851,1153.59,111.37,1.1317,6.4745,1.3071,1.2972,0.9671,1.3497,0.6906
2016-03-18,95.165,1163.3,111.55,1.1267,6.4682,1.3152,1.2999,0.9697,1.358,0.6906
2016-03-21,95.339,1159.99,111.93,1.1239,6.4812,1.3195,1.31,0.9697,1.3594,0.696
2016-03-22,95.694,1156.27,112.36,1.1214,6.4876,1.312,1.3044,0.9722,1.3591,0.7038
2016-03-23,96.117,1167.49,112.35,1.1183,6.5035,1.3277,1.3203,0.9748,1.3662,0.7084
2016-03-24,96.226,1167.19,112.89,1.1173,6.5124,1.3281,1.3245,0.9754,1.3692,0.7066
2016-03-25,,1167.69,113.04,1.1163,6.5131,1.332,1.3273,0.9771,1.372,0.707
2016-03-28,96.01,1164.69,113.43,1.1193,6.5051,1.3253,1.3182,0.9733,1.3697,0.7016
2016-03-29,95.216,1154.39,112.68,1.1289,6.5063,1.3111,1.3072,0.9662,1.3538,0.6951
2016-03-30,94.904,1142.95,112.42,1.1336,6.4648,1.3036,1.2964,0.9648,1.35,0.6954
2016-03-31,94.661,1143.97,112.56,1.1378,6.448,1.3058,1.3004,0.9611,1.348,0.6963
2016-04-01,94.688,1146.59,111.65,1.1386,6.4776,1.3039,1.3009,0.9573,1.3502,0.7029
2016-04-04,94.589,1151.16,111.31,1.139,6.4776,1.3148,1.3085,0.9588,1.351,0.7011
2016-04-05,94.712,1159.81,110.31,1.1382,6.476,1.3251,1.3135,0.9559,1.355,0.7062
2016-04-06,94.524,1154.84,109.78,1.1397,6.478,1.3159,1.3087,0.9556,1.3468,0.7082
2016-04-07,94.597,1159.49,108.2,1.1375,6.4599,1.3327,1.3143,0.9554,1.3522,0.7114
2016-04-08,94.36,1150.29,108.03,1.1399,6.4628,1.3234,1.2986,0.9528,1.349,0.7079
2016-04-11,94.05,1141.29,107.93,1.1406,6.458,1.3164,1.2897,0.9536,1.3437,0.7022
2016-04-12,94.06,1142.89,108.53,1.1384,6.4639,1.3013,1.2759,0.9546,1.343,0.7005
2016-04-13,94.855,1144.89,109.33,1.1272,6.4768,1.3066,1.2815,0.9667,1.3503,0.704
2016-04-14,95.018,1152.39,109.37,1.1266,6.481,1.2993,1.2843,0.9663,1.3627,0.7066
2016-04-15,94.799,1145.69,108.73,1.128,6.473,1.2948,1.2819,0.9669,1.3572,0.7045
2016-04-18,94.573,1143.38,108.81,1.1312,6.4717,1.2904,1.278,0.9635,1.3508,0.7006
2016-04-19,94.062,1127.69,109.17,1.1356,6.4571,1.2797,1.2666,0.9614,1.3357,0.6947
2016-04-20,94.579,1132.39,109.83,1.1295,6.4675,1.283,1.2653,0.9718,1.3436,0.6976
2016-04-21,94.674,1140.09,109.44,1.1286,6.481,1.2923,1.2734,0.9748,1.3489,0.6982
2016-04-22,95.18,1148.69,111.78,1.123,6.5004,1.2974,1.2668,0.9779,1.354,0.6944
2016-04-25,94.899,1150.21,111.19,1.1263,6.49,1.2961,1.2677,0.9746,1.3515,0.6905
2016-04-26,94.618,1146.9,111.3,1.1298,6.4905,1.2906,1.2602,0.9729,1.3511,0.6858
2016-04-27,94.447,1148.01,111.45,1.1319,6.494,1.3179,1.2597,0.9707,1.3486,0.6876
2016-04-28,93.817,1136.29,108.08,1.1351,6.4735,1.3113,1.255,0.9663,1.345,0.6845
2016-04-29,93.147,1143.83,106.35,1.1454,6.4738,1.3152,1.2551,0.9595,1.3436,0.6843
2016-05-02,92.713,1135.79,106.4,1.1529,6.4738,1.3045,1.2527,0.9541,1.34,0.6815
2016-05-03,93.029,1150.49,106.59,1.1495,6.49,1.3362,1.2719,0.9536,1.352,0.6881
2016-05-04,93.285,1165.79,107.0,1.1485,6.4945,1.341,1.2867,0.9572,1.3577,0.6901
2016-05-05,93.873,1166.59,107.24,1.1404,6.5032,1.3394,1.2852,0.9675,1.3587,0.6904
2016-05-06,93.973,1168.3,107.1,1.1402,6.497,1.3572,1.2907,0.972,1.3607,0.693
2016-05-09,94.21,1174.29,108.31,1.1381,6.514,1.3668,1.2961,0.9706,1.3712,0.6942
2016-05-10,94.352,1169.59,109.25,1.1368,6.515,1.3582,1.291,0.9757,1.368,0.6923
2016-05-11,93.88,1164.19,108.41,1.1425,6.491,1.3558,1.2848,0.9706,1.3651,0.6922
2016-05-12,94.213,1169.19,109.01,1.1375,6.514,1.3651,1.2845,0.9701,1.3723,0.6921
2016-05-13,94.673,1175.49,108.6,1.1305,6.5285,1.3759,1.294,0.9751,1.3719,0.6963
2016-05-16,94.625,1177.2,109.01,1.1316,6.5184,1.3719,1.2893,0.9773,1.3692,0.6944
2016-05-17,94.606,1176.24,109.12,1.1311,6.517,1.3653,1.2905,0.9801,1.3689,0.6914
2016-05-18,95.123,1188.19,110.18,1.1215,6.537,1.383,1.3032,0.9875,1.3814,0.685
2016-05-19,95.344,1186.48,109.95,1.1202,6.544,1.3836,1.3092,0.9901,1.3809,0.6844
2016-05-20,95.383,1185.2,110.14,1.1222,6.5485,1.3847,1.3111,0.9897,1.381,0.6896
2016-05-23,95.261,1181.89,109.22,1.1216,6.5533,1.3843,1.3141,0.9894,1.3773,0.6904
2016-05-24,95.611,1186.89,109.98,1.114,6.5552,1.3922,1.3119,0.9927,1.3813,0.6833
2016-05-25,95.37,1180.49,110.18,1.1153,6.5538,1.3891,1.3018,0.9908,1.378,0.6804
2016-05-26,95.18,1178.69,109.75,1.1192,6.554,1.3839,1.2976,0.9888,1.3734,0.6816
2016-05-27,95.505,1185.25,110.22,1.1114,6.5615,1.3923,1.3017,0.9945,1.3794,0.6838
2016-05-30,95.505,1191.99,111.11,1.1144,6.581,1.3923,1.3047,0.9917,1.3815,0.6832
2016-05-31,95.893,1188.39,110.68,1.1129,6.5798,1.3825,1.3092,0.9934,1.3772,0.6907
2016-06-01,95.471,1191.37,109.52,1.1185,6.5748,1.378,1.3075,0.9876,1.3765,0.6936
2016-06-02,95.571,1185.81,108.85,1.1149,6.5815,1.3833,1.3095,0.9899,1.3753,0.6933
2016-06-03,93.988,1162.19,106.51,1.1365,6.5638,1.3573,1.2932,0.9755,1.3565,0.6887
2016-06-06,93.855,1161.69,107.55,1.1351,6.5611,1.3574,1.2815,0.9702,1.3554,0.6925
2016-06-07,93.797,1154.99,107.33,1.1356,6.571,1.3405,1.2734,0.9646,1.3509,0.6876
2016-06-08,93.596,1153.25,106.97,1.1392,6.56,1.3386,1.2693,0.959,1.3467,0.6895
2016-06-09,93.987,1157.99,107.08,1.1314,6.559,1.3455,1.2719,0.9643,1.3525,0.6916
2016-06-10,94.631,1170.53,106.96,1.1249,6.559,1.3565,1.2783,0.964,1.36,0.7014
2016-06-13,94.421,1171.44,106.23,1.129,6.5823,1.3537,1.2833,0.9642,1.3546,0.7006
2016-06-14,95.1,1175.35,106.1,1.1206,6.593,1.3588,1.287,0.9631,1.3546,0.7084
2016-06-15,94.735,1167.79,106.0,1.1257,6.5785,1.3499,1.2911,0.9608,1.3523,0.7039
2016-06-16,94.751,1171.65,104.24,1.1223,6.5899,1.3581,1.2966,0.9646,1.3482,0.7041
