,날짜,PER,PBR,EPS,BPS,DIV,DPS
2242,2025-02-21,68.26,1.53,3135,140052,0.0,0
2241,2025-02-20,69.38,1.55,3135,140052,0.0,0
2240,2025-02-19,76.24,1.71,3135,140052,0.0,0
2239,2025-02-18,74.16,1.66,3135,140052,0.0,0
2238,2025-02-17,71.93,1.61,3135,140052,0.0,0
2237,2025-02-14,71.93,1.61,3135,140052,0.0,0
2236,2025-02-13,75.44,1.69,3135,140052,0.0,0
2235,2025-02-12,74.64,1.67,3135,140052,0.0,0
2234,2025-02-11,70.65,1.58,3135,140052,0.0,0
2233,2025-02-10,69.7,1.56,3135,140052,0.0,0
2232,2025-02-07,71.93,1.61,3135,140052,0.0,0
2231,2025-02-06,72.73,1.63,3135,140052,0.0,0
2230,2025-02-05,71.93,1.61,3135,140052,0.0,0
2229,2025-02-04,74.0,1.66,3135,140052,0.0,0
2228,2025-02-03,72.09,1.61,3135,140052,0.0,0
2227,2025-01-31,74.0,1.66,3135,140052,0.0,0
2226,2025-01-24,72.89,1.63,3135,140052,0.0,0
2225,2025-01-23,72.09,1.61,3135,140052,0.0,0
2224,2025-01-22,76.87,1.72,3135,140052,0.0,0
2223,2025-01-21,79.27,1.77,3135,140052,0.0,0
2222,2025-01-20,77.83,1.74,3135,140052,0.0,0
2221,2025-01-17,77.67,1.74,3135,140052,0.0,0
2220,2025-01-16,77.67,1.74,3135,140052,0.0,0
2219,2025-01-15,77.67,1.74,3135,140052,0.0,0
2218,2025-01-14,75.28,1.69,3135,140052,0.0,0
2217,2025-01-13,74.96,1.68,3135,140052,0.0,0
2216,2025-01-10,76.56,1.71,3135,140052,0.0,0
2215,2025-01-09,76.56,1.71,3135,140052,0.0,0
2214,2025-01-08,74.96,1.68,3135,140052,0.0,0
2213,2025-01-07,73.68,1.65,3135,140052,0.0,0
2212,2025-01-06,71.77,1.61,3135,140052,0.0,0
2211,2025-01-03,71.13,1.59,3135,140052,0.0,0
2210,2025-01-02,73.68,1.65,3135,140052,0.0,0
2209,2024-12-30,72.73,1.63,3135,140052,0.0,0
2208,2024-12-27,73.68,1.65,3135,140052,0.0,0
2207,2024-12-26,75.12,1.68,3135,140052,0.0,0
2206,2024-12-24,72.09,1.61,3135,140052,0.0,0
2205,2024-12-23,73.37,1.64,3135,140052,0.0,0
2204,2024-12-20,67.78,1.52,3135,140052,0.0,0
2203,2024-12-19,68.42,1.53,3135,140052,0.0,0
2202,2024-12-18,66.83,1.5,3135,140052,0.0,0
2201,2024-12-17,66.51,1.49,3135,140052,0.0,0
2200,2024-12-16,66.19,1.48,3135,140052,0.0,0
2199,2024-12-13,66.99,1.5,3135,140052,0.0,0
2198,2024-12-12,66.99,1.5,3135,140052,0.0,0
2197,2024-12-11,67.3,1.51,3135,140052,0.0,0
2196,2024-12-10,62.52,1.4,3135,140052,0.0,0
2195,2024-12-09,59.94,1.34,3135,140052,0.0,0
2194,2024-12-06,60.38,1.35,3135,140052,0.0,0
2193,2024-12-05,61.95,1.39,3135,140052,0.0,0
2192,2024-12-04,62.2,1.39,3135,140052,0.0,0
2191,2024-12-03,62.9,1.41,3135,140052,0.0,0
2190,2024-12-02,62.36,1.4,3135,140052,0.0,0
