,날짜,시가총액
2232,2025-02-07,15959337658000
2231,2025-02-06,16136270448000
2230,2025-02-05,15959337658000
2229,2025-02-04,16419362912000
2228,2025-02-03,15994724216000
2227,2025-01-31,16419362912000
2226,2025-01-24,16171657006000
2225,2025-01-23,15994724216000
2224,2025-01-22,17056320956000
2223,2025-01-21,17587119326000
2222,2025-01-20,17268640304000
2221,2025-01-17,17233253746000
2220,2025-01-16,17233253746000
2219,2025-01-15,17233253746000
2218,2025-01-14,16702455376000
2217,2025-01-13,16631682260000
2216,2025-01-10,16985547840000
2215,2025-01-09,16985547840000
2214,2025-01-08,16631682260000
2213,2025-01-07,16348589796000
2212,2025-01-06,15923951100000
2211,2025-01-03,15782404868000
2210,2025-01-02,16348589796000
2209,2024-12-30,16136270448000
2208,2024-12-27,16348589796000
2207,2024-12-26,16667068818000
2206,2024-12-24,15994724216000
2205,2024-12-23,16277816680000
2204,2024-12-20,15039287150000
2203,2024-12-19,15180833382000
2202,2024-12-18,14826967802000
2201,2024-12-17,14756194686000
2200,2024-12-16,14685421570000
2199,2024-12-13,14862354360000
2198,2024-12-12,14862354360000
2197,2024-12-11,14933127476000
2196,2024-12-10,13871530736000
2195,2024-12-09,13298268496400
2194,2024-12-06,13397350858800
2193,2024-12-05,13744139127200
2192,2024-12-04,13800757620000
2191,2024-12-03,13956458475200
2190,2024-12-02,13836144178000
2189,2024-11-29,14473102222000
2188,2024-11-28,14968514034000
2187,2024-11-27,15039287150000
2186,2024-11-26,15286993056000
2185,2024-11-25,15322379614000
2184,2024-11-22,14260782874000
2183,2024-11-21,14034308902800
2182,2024-11-20,14437715664000
2181,2024-11-19,14098004707200
2180,2024-11-18,13758293750400
2179,2024-11-15,13418582793600
2178,2024-11-14,13652134076400
2177,2024-11-13,13135490329600
2176,2024-11-12,13284113873200
2175,2024-11-11,13722907192400
2174,2024-11-08,13729984504000
2173,2024-11-07,13942303852000
2172,2024-11-06,13149644952800
2171,2024-11-05,12859475177200
2170,2024-11-04,12788702061200
2169,2024-11-01,12739160880000
2168,2024-10-31,12979789474400
2167,2024-10-30,13220418068800
2166,2024-10-29,13312423119600
2165,2024-10-28,13482278598000
2164,2024-10-25,14147545888400
2163,2024-10-24,13857376112800
2162,2024-10-23,13928149228800
2161,2024-10-22,13793680308400
2160,2024-10-21,13928149228800
2159,2024-10-18,13800757620000
2158,2024-10-17,13956458475200
2157,2024-10-16,13652134076400
2156,2024-10-15,13807834931600
2155,2024-10-14,13291191184800
2154,2024-10-11,13107181083200
2153,2024-10-10,13482278598000
2152,2024-10-08,13093026460000
2151,2024-10-07,13022253344000
2150,2024-10-04,13149644952800
2149,2024-10-02,12972712162800
2148,2024-09-30,13284113873200
2147,2024-09-27,13057639902000
2146,2024-09-26,14083850084000
2145,2024-09-25,13935226540400
2144,2024-09-24,13871530736000
2143,2024-09-23,13765371062000
2142,2024-09-20,14034308902800
2141,2024-09-19,13517665156000
2140,2024-09-13,12951480228000
2139,2024-09-12,12158821328800
2138,2024-09-11,12342831430400
2137,2024-09-10,12250826379600
2136,2024-09-09,12073893589600
2135,2024-09-06,12066816278000
2134,2024-09-05,11889883488000
2133,2024-09-04,12441913792800
2132,2024-09-03,12788702061200
2131,2024-09-02,12774547438000
2130,2024-08-30,13545974402400
2129,2024-08-29,13107181083200
2128,2024-08-28,13213340757200
2127,2024-08-27,13192108822400
2126,2024-08-26,13093026460000
2125,2024-08-23,13432737416800
2124,2024-08-22,13574283648800
2123,2024-08-21,14133391265200
2122,2024-08-20,14331555990000
2121,2024-08-19,14105082018800
2120,2024-08-16,13921071917200
2119,2024-08-14,13984767721600
2118,2024-08-13,13850298801200
2117,2024-08-12,14090927395600
2116,2024-08-09,14296169432000
2115,2024-08-08,14543875338000
2114,2024-08-07,13588438272000
2113,2024-08-06,13468123974800
2112,2024-08-05,12229594444800
2111,2024-08-02,14366942548000
2110,2024-08-01,15074673708000
2109,2024-07-31,14650035012000
2108,2024-07-30,14225396316000
2107,2024-07-29,14366942548000
2106,2024-07-26,14069695460800
2105,2024-07-25,13008098720800
2104,2024-07-24,13376118924000
2103,2024-07-23,13425660105200
2102,2024-07-22,13206263445600
2101,2024-07-19,12321599495600
2100,2024-07-18,12533918843600
2099,2024-07-17,12682542387200
2098,2024-07-16,12618846582800
2097,2024-07-15,11946501980800
2096,2024-07-12,11727105321200
2095,2024-07-11,11826187683600
2094,2024-07-10,11613868335600
2093,2024-07-09,11302466625200
2092,2024-07-08,11323698560000
2091,2024-07-05,11019374161200
2090,2024-07-04,11302466625200
2089,2024-07-03,11090147277200
2088,2024-07-02,11125533835200
2087,2024-07-01,11316621248400
2086,2024-06-28,11238770820800
2085,2024-06-27,11146765770000
2084,2024-06-26,10651353958000
2083,2024-06-25,10743359008800
2082,2024-06-24,10920291798800
2081,2024-06-21,10729204385600
2080,2024-06-20,10608890088400
2079,2024-06-19,10311643001200
2078,2024-06-18,9809153877600
2077,2024-06-17,9745458073200
2076,2024-06-14,9830385812400
2075,2024-06-13,9412824428000
2074,2024-06-12,9441133674400
2073,2024-06-11,9462365609200
2072,2024-06-10,9533138725200
2071,2024-06-07,9554370660000
2070,2024-06-05,9257123572800
2069,2024-06-04,9250046261200
2068,2024-06-03,9398669804800
2067,2024-05-31,9228814326400
2066,2024-05-30,9257123572800
2065,2024-05-29,9504829478800
2064,2024-05-28,9582679906400
2063,2024-05-27,9504829478800
2062,2024-05-24,9582679906400
2061,2024-05-23,9108500029200
2060,2024-05-22,9080190782800
2059,2024-05-21,9285432819200
2058,2024-05-20,9334974000400
2057,2024-05-17,9518984102000
2056,2024-05-16,9745458073200
2055,2024-05-14,9618066464400
2054,2024-05-13,9646375710800
2053,2024-05-10,9193427768400
2052,2024-05-09,9165118522000
2051,2024-05-08,9257123572800
2050,2024-05-07,9377437870000
2049,2024-05-03,9080190782800
2048,2024-05-02,9165118522000
2047,2024-04-30,9306664754000
2046,2024-04-29,9391592493200
2045,2024-04-26,9129731964000
2044,2024-04-25,9009417666800
2043,2024-04-24,9158041210400
2042,2024-04-23,8867871434800
2041,2024-04-22,8443232738800
2040,2024-04-19,8443232738800
2039,2024-04-18,8450310050400
2038,2024-04-17,7947820926800
2037,2024-04-16,7905357057200
2036,2024-04-15,8358304999600
2035,2024-04-12,8322918441600
2034,2024-04-11,8230913390800
2033,2024-04-09,8393691557600
2032,2024-04-08,8386614246000
2031,2024-04-05,8464464673600
2030,2024-04-04,8563547036000
2029,2024-04-03,8471541985200
2028,2024-04-02,8478619296800
2027,2024-04-01,8471541985200
2026,2024-03-29,8379536934400
2025,2024-03-28,8506928543200
2024,2024-03-27,8506928543200
2023,2024-03-26,8839562188400
2022,2024-03-25,8804175630400
2021,2024-03-22,8910335304400
2020,2024-03-21,9051881536400
2019,2024-03-20,9030649601600
2018,2024-03-19,8811252942000
2017,2024-03-18,8874948746400
2016,2024-03-15,8761711760800
2015,2024-03-14,8386614246000
2014,2024-03-13,7990284796400
2013,2024-03-12,8075212535600
2012,2024-03-11,8075212535600
2011,2024-03-08,7940743615200
2010,2024-03-07,8032748666000
2009,2024-03-06,7954898238400
2008,2024-03-05,7799197383200
2007,2024-03-04,7629341904800
2006,2024-02-29,7919511680400
2005,2024-02-28,8160140274800
2004,2024-02-27,8053980600800
2003,2024-02-26,7891202434000
2002,2024-02-23,8138908340000
2001,2024-02-22,8266299948800
2000,2024-02-21,8407846180800
1999,2024-02-20,8237990702400
1998,2024-02-19,8457387362000
1997,2024-02-16,8485696608400
1996,2024-02-15,8237990702400
1995,2024-02-14,8089367158800
1994,2024-02-13,8386614246000
1993,2024-02-08,8570624347600
